technology,year,capex_yuan_per_kw,active_capex_yuan_per_kw,source_technology,source_figure,extraction_method,mapping_assumption,source_workbook,candidate_price_basis,conversion_rule,implementation_status
battery,2030,3313.2131999999997,3300.0,BAT,image_c8b91f.png (S42),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
battery,2040,3052.1721599999996,3040.0,BAT,image_c8b91f.png (S42),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
battery,2050,2771.05104,2760.0,BAT,image_c8b91f.png (S42),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
battery,2060,2409.6096,2400.0,BAT,image_c8b91f.png (S42),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
bio,2030,4718.818799999999,4700.0,Biomass,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
bio,2040,3815.2151999999996,3800.0,Biomass,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
bio,2050,3815.2151999999996,3800.0,Biomass,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
bio,2060,3815.2151999999996,3800.0,Biomass,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
bioccs,2030,11947.647599999998,11900.0,Biomass CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
bioccs,2040,9688.638599999998,9650.0,Biomass CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
bioccs,2050,7831.231199999999,7800.0,Biomass CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
bioccs,2060,7831.231199999999,7800.0,Biomass CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
cchp,2030,3815.2151999999996,3800.0,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
cchp,2040,3815.2151999999996,3800.0,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
cchp,2050,3765.0149999999994,3750.0,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
cchp,2060,3765.0149999999994,3750.0,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
cchpccs,2030,6927.627599999999,6900.0,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
cchpccs,2040,6927.627599999999,6900.0,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
cchpccs,2050,6174.624599999999,6150.0,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
cchpccs,2060,6024.023999999999,6000.0,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
coal,2030,3815.2151999999996,3800.0,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
coal,2040,3815.2151999999996,3800.0,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
coal,2050,3765.0149999999994,3750.0,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
coal,2060,3765.0149999999994,3750.0,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
coalccs,2030,6927.627599999999,6900.0,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
coalccs,2040,6927.627599999999,6900.0,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
coalccs,2050,6174.624599999999,6150.0,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
coalccs,2060,6024.023999999999,6000.0,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
csp,2030,12048.047999999999,12000.0,CSP,image_c8b89e.png (E),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
csp,2040,11546.045999999998,11500.0,CSP,image_c8b89e.png (E),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
csp,2050,10742.842799999999,10700.0,CSP,image_c8b89e.png (E),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
csp,2060,10040.039999999999,10000.0,CSP,image_c8b89e.png (E),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
dpv,2030,2660.6105999999995,2650.0,Distributed solar PV,image_c8b89e.png (D),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
dpv,2040,2409.6096,2400.0,Distributed solar PV,image_c8b89e.png (D),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
dpv,2050,2248.9689599999997,2240.0,Distributed solar PV,image_c8b89e.png (D),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
dpv,2060,2248.9689599999997,2240.0,Distributed solar PV,image_c8b89e.png (D),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
gas,2030,3815.2151999999996,3800.0,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
gas,2040,3815.2151999999996,3800.0,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
gas,2050,3815.2151999999996,3800.0,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
gas,2060,3815.2151999999996,3800.0,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
gasccs,2030,6275.025,6250.0,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
gasccs,2040,6224.824799999999,6200.0,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
gasccs,2050,6224.824799999999,6200.0,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
gasccs,2060,6224.824799999999,6200.0,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
gchp,2030,3815.2151999999996,3800.0,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
gchp,2040,3815.2151999999996,3800.0,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
gchp,2050,3815.2151999999996,3800.0,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
gchp,2060,3815.2151999999996,3800.0,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
gchpccs,2030,6275.025,6250.0,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
gchpccs,2040,6224.824799999999,6200.0,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
