parameter_family,parameter,candidate_baseline,future_sensitivity_values,priority,implementation_note
fuel,coal price,candidate provincial table,0.8x / 1.0x / 1.2x; paper high path +5% each 5 y,VERY_HIGH,scalar or trajectory
fuel,gas price,candidate provincial table,0.8x / 1.0x / 1.2x; paper low path -5% each 5 y,VERY_HIGH,scalar or trajectory
fuel,biomass price,candidate provincial table,0.8x / 1.0x / 1.2x,HIGH,scalar
finance,real WACC,7.4%,4% / 7.4% / 9%,VERY_HIGH,scalar
coal flexibility,pmin,0.40,0.30 / 0.40 / 0.50,HIGH,scalar
existing fleet,retirement lifetime,40 y,30 / 40 / 50 y,HIGH,cohort reconstruction
battery,duration,4 h,2 / 4 / 8 / 12 h,VERY_HIGH,requires power-energy cost split
battery,4 h energy cost,candidate CISPO trajectory,NREL 2025 low / mid / high,VERY_HIGH,scenario table
pumped hydro,RTE,77.44%,70% / 80% / 87%,HIGH,efficiency pair
pumped hydro,duration,8 h,8 / 12 / 24 h,HIGH,duration and site class
offshore wind,spatial CapEx,national scalar,depth-distance/wake low / central / high,VERY_HIGH,grid-specific overlay
nuclear,CapEx and pmin,candidate trajectory; pmin 0.85,CapEx +/-30%; pmin 0.70 / 0.85 / 0.90,HIGH,two-factor
CCS,energy penalty,CISPO heat rate + 5% output loss,An et al. fuel-specific 2025-2060 paths,VERY_HIGH,formula-consistent recoding
CCS,transport cost,0.1857 CNY/t/km candidate,0.1429 / 0.1857 / 0.2571,HIGH,0.020/0.026/0.036 USD at 2025 FX
CCS,storage cost,35.7145 CNY/t candidate,21.4287 / 35.7145 / 60.7147,HIGH,3/5/8.5 USD at 2025 FX
DAC,monetary costs,candidate CPI-rebased table,0.5x / 1.0x / 1.5x,VERY_HIGH,scenario table
wave optional,potential and cost,reference disabled,potential 0.01/0.05/0.20/1.00; commercial-cost case,MANDATORY_IF_ENABLED,independent scenario
objective accounting,existing-capacity CapEx charging,charged in current model,current / sunk-existing-capacity treatment,CRITICAL,requires model code review
