parameter_family,parameter,active_value,v2_candidate_value,unit,decision,implementation_status
2030 CapEx,陆上风电,5500.0,5522.021999999999,2025 CNY/kW,KEEP_AND_REBASE,PROPOSED_NOT_APPLIED
2030 CapEx,海上风电,9800.0,9839.239199999998,2025 CNY/kW,KEEP_AND_REBASE,PROPOSED_NOT_APPLIED
2030 CapEx,集中式光伏,2250.0,2259.009,2025 CNY/kW,KEEP_AND_REBASE,PROPOSED_NOT_APPLIED
2030 CapEx,分布式光伏,2650.0,2660.6105999999995,2025 CNY/kW,KEEP_AND_REBASE,PROPOSED_NOT_APPLIED
2030 CapEx,4 h 电池,3300.0,3313.2132,2025 CNY/kW,KEEP_AND_REBASE,PROPOSED_NOT_APPLIED
2030 CapEx,8 h 抽蓄,5260.0,5281.06104,2025 CNY/kW,KEEP_AND_REBASE,PROPOSED_NOT_APPLIED
2030 CapEx,核电,19300.0,20000.12,2025 CNY/kW,CHANGE_SOURCE_CHAIN,PROPOSED_NOT_APPLIED
2030 CapEx,常规水电,13319.0,13372.329276,2025 CNY/kW,KEEP_AND_REBASE,PROPOSED_NOT_APPLIED
2030 CapEx,煤电,3800.0,3815.2152,2025 CNY/kW,KEEP_AND_REBASE,PROPOSED_NOT_APPLIED
2030 CapEx,燃气,3800.0,3815.2152,2025 CNY/kW,KEEP_AND_REBASE,PROPOSED_NOT_APPLIED
CCS,capture_cost,260.0,261.04103999999995,2025 CNY/tCO2,KEEP_AND_REBASE,PROPOSED_NOT_APPLIED
CCS,transport_cost,0.8,0.5,2025 CNY/tCO2/km,CHANGE_MULTI_SOURCE_SYNTHESIS,PROPOSED_NOT_APPLIED
CCS,storage_cost,116.0,45.0,2025 CNY/tCO2,CHANGE_MULTI_SOURCE_SYNTHESIS,PROPOSED_NOT_APPLIED
