scenario_id,parameter_path,runtime_authority,expected_value,unit,evidence_status,sensitivity_range,notes
flexible_load_comfort_v3_v2g_5pct,features.flexible_load,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,true,boolean,EVIDENCE_ANCHORED_PARAMETERS_REQUIRE_SENSITIVITY,fixed scenario identity,Base remains false
flexible_load_comfort_v3_v2g_5pct,flexible_load.contract_version,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,v3,category,EVIDENCE_ANCHORED_PARAMETERS_REQUIRE_SENSITIVITY,fixed scenario identity,Resolved override contract
flexible_load_comfort_v3_v2g_5pct,flexible_load.formulation,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,comfort_envelope_v3,category,EVIDENCE_ANCHORED_PARAMETERS_REQUIRE_SENSITIVITY,fixed scenario identity,Province-generic equivalent thermal state
flexible_load_comfort_v3_v2g_5pct,flexible_load.hourly_envelope_file,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,load/flexible_load_envelope_v3.csv.gz,path,EVIDENCE_ANCHORED_PARAMETERS_REQUIRE_SENSITIVITY,low/base/high thermal calibration required,Envelope is not an indoor-temperature calibration
flexible_load_comfort_v3_v2g_5pct,flexible_load.activation_costs_yuan_per_mwh.heating_reduction,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,1000.0,CNY/MWh,ILLUSTRATIVE_ASSUMPTION,low/base/high required,Comfort-reduction activation cost
flexible_load_comfort_v3_v2g_5pct,flexible_load.activation_costs_yuan_per_mwh.heating_increase,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,600.0,CNY/MWh,ILLUSTRATIVE_ASSUMPTION,low/base/high required,Heating preconditioning activation cost
flexible_load_comfort_v3_v2g_5pct,flexible_load.activation_costs_yuan_per_mwh.cooling_reduction,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,1000.0,CNY/MWh,ILLUSTRATIVE_ASSUMPTION,low/base/high required,Comfort-reduction activation cost
flexible_load_comfort_v3_v2g_5pct,flexible_load.activation_costs_yuan_per_mwh.cooling_increase,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,600.0,CNY/MWh,ILLUSTRATIVE_ASSUMPTION,low/base/high required,Cooling preconditioning activation cost
flexible_load_comfort_v3_v2g_5pct,flexible_load.activation_costs_yuan_per_mwh.ev_v1g_relocated,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,100.0,CNY/MWh,ILLUSTRATIVE_ASSUMPTION,low/base/high required,Aggregate EV service relocation cost
flexible_load_comfort_v3_v2g_5pct,flexible_load.activation_costs_yuan_per_mwh.ev_v2g_discharged,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,608.0,CNY/MWh,ILLUSTRATIVE_ASSUMPTION,300-1100 CNY/MWh,V2G compensation/degradation anchor
flexible_load_comfort_v3_v2g_5pct,flexible_load.heating.comfort_band_delta_c,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,1.0,degC,ILLUSTRATIVE_ASSUMPTION,low/base/high required,Setpoint sensitivity rather than indoor-temperature calibration
flexible_load_comfort_v3_v2g_5pct,flexible_load.heating.equivalent_storage_duration_hours,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,4.0,h,ILLUSTRATIVE_ASSUMPTION,low/base/high required,Equivalent thermal duration
flexible_load_comfort_v3_v2g_5pct,flexible_load.heating.retention_per_hour,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,0.94,fraction,ILLUSTRATIVE_ASSUMPTION,low/base/high required,Province-generic thermal retention
flexible_load_comfort_v3_v2g_5pct,flexible_load.cooling.comfort_band_delta_c,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,1.0,degC,ILLUSTRATIVE_ASSUMPTION,low/base/high required,Setpoint sensitivity rather than indoor-temperature calibration
flexible_load_comfort_v3_v2g_5pct,flexible_load.cooling.equivalent_storage_duration_hours,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,5.0,h,ILLUSTRATIVE_ASSUMPTION,low/base/high required,Equivalent thermal duration
flexible_load_comfort_v3_v2g_5pct,flexible_load.cooling.retention_per_hour,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,0.92,fraction,ILLUSTRATIVE_ASSUMPTION,low/base/high required,Province-generic thermal retention
flexible_load_comfort_v3_v2g_5pct,flexible_load.ev_v1g.shiftable_energy_fraction,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,0.5,fraction,ILLUSTRATIVE_ASSUMPTION,availability calibration required,Uncontrolled charging baseline not observed plug availability
flexible_load_comfort_v3_v2g_5pct,flexible_load.ev_v1g.maximum_power_to_daily_average_ratio,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,2.0,ratio,ILLUSTRATIVE_ASSUMPTION,availability calibration required,Aggregate power envelope
flexible_load_comfort_v3_v2g_5pct,flexible_load.ev_v1g.maximum_queue_duration_hours,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,12.0,h,ILLUSTRATIVE_ASSUMPTION,availability calibration required,Causal latest-service deadline
flexible_load_comfort_v3_v2g_5pct,flexible_load.ev_v2g.power_fraction_of_daily_baseline_peak,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,0.05,fraction,ILLUSTRATIVE_ASSUMPTION,low/base/high participation required,Not a fleet participation rate
flexible_load_comfort_v3_v2g_5pct,flexible_load.ev_v2g.power_duration_hours,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,4.0,h,ILLUSTRATIVE_ASSUMPTION,low/base/high required,Converts scenario energy envelope to power
flexible_load_comfort_v3_v2g_5pct,flexible_load.ev_v2g.charge_efficiency,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,0.95,fraction,ILLUSTRATIVE_ASSUMPTION,low/base/high required,Daily-cyclic virtual storage
flexible_load_comfort_v3_v2g_5pct,flexible_load.ev_v2g.discharge_efficiency,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,0.95,fraction,ILLUSTRATIVE_ASSUMPTION,low/base/high required,Daily-cyclic virtual storage
flexible_load_comfort_v3_v2g_5pct,flexible_load.ev_v2g.state_boundary,config/scenarios/flexible_load_comfort_v3_v2g_5pct.json,daily_zero_causal,category,ILLUSTRATIVE_ASSUMPTION,mobility-SOC data required,Not fleet-physical mobility SOC
