parameter_family,current_model_value,latest_research_report_policy,comparability_and_reliability,proposed_final_baseline,decision,sensitivity_priority,source
VRE CapEx,2030: onwind 5500; offwind 9800; UPV 2250; DPV 2650 CNY/kW,"IRENA 2024 global TIC: onwind 1041, offwind 2852, PV 691 USD/kW; China-specific CISPO anchors remain lower","Global commissioned-project benchmark is not a China replacement; current China values are internally coherent. Offshore national scalar omits depth, distance and wakes.",current trajectory x 1.004004 CPI to 2025 CNY,KEEP_AND_REBASE,HIGH_OFFWIND; MEDIUM_OTHER_VRE,CISPO EES 2025; IRENA Renewable Power Generation Costs in 2024; doi:10.1038/s41597-025-04428-8; doi:10.1038/s41467-026-68655-2
Coal/gas/biomass/nuclear/hydro CapEx and O&M,19 technologies x 2030/2040/2050/2060; CISPO figure-digitized trajectories,CISPO EES 2025 remains the most directly compatible China-system source; recent global reports are cross-checks only,Compatible model definitions but digitization error is not quantified,current monetary values x 1.004004 CPI,KEEP_AND_REBASE,MEDIUM; HIGH_NUCLEAR_AND_CCS,doi:10.1039/D5EE00355E
Provincial fuel prices,"An et al. Table S2 USD/GJ x 6.9 CNY/USD, constant to 2060",Coal inferred to 2023; gas constructed from 2018 benchmark gate price +0.8 CNY/m3; biomass from Yuan et al. 2022,"High spatial provenance; medium temporal reliability. These are constructed planning prices, not 2025 spot observations.","published USD/GJ x 7.1429 official 2025 average FX, constant to 2060",CORRECT_PROVENANCE_AND_FX,VERY_HIGH,doi:10.1038/s41467-025-57559-2; doi:10.5281/zenodo.14836760
Coal flexibility,pmin 0.40; min up/down 8/8 h; ramp 0.25/h,An et al. explicitly tests coal pmin 0.30 and 0.50 around the central case,Directly comparable continuous-RUC parameter,retain pmin 0.40 and current RUC values,KEEP,HIGH,doi:10.1039/D5EE00355E; doi:10.1038/s41467-025-57559-2
CCS capture fraction and energy penalty,capture 90%; 5% net-output loss plus technology-specific heat rate,"An et al.: 90% capture; 2025 energy penalty coal 24.4%, gas 18.3%, biomass 51.3%, declining over time",Capture is aligned. Current effective net penalties combine heat-rate and output-loss terms and differ by fuel.,retain 90% capture and CISPO effective penalties pending formula-consistent recoding,KEEP_WITH_STRUCTURAL_REVIEW,VERY_HIGH,doi:10.1038/s41467-025-57559-2
CCS transport and storage cost,0.8 CNY/tCO2/km; 116 CNY/tCO2,An et al. central 0.026 USD/tCO2/km and 5 USD/tCO2; ranges 0.020-0.036 and 3-8.5,Directly comparable units and China-system application,0.1857 CNY/tCO2/km and 35.7145 CNY/tCO2 at 2025 FX,CHANGE_RECOMMENDED_REQUIRES_APPROVAL,HIGH,doi:10.1038/s41467-025-57559-2
Battery storage,4 h; eta_ch=eta_dis=0.95; RTE=0.9025; 15 y; 2030 CapEx 3300 CNY/kW,NREL 2025 4 h: 2035 low/mid/high 152/247/349 USD/kWh; 2050 111/184/333; IRENA 2024 global commissioned average 192 USD/kWh; NEA reports 2024 China EPC -25% and system bids -44% y/y,Efficiency is reasonable; current 2030 energy-equivalent 825 CNY/kWh is aggressive versus global benchmarks but plausible for China. Power-only CapEx with fixed duration cannot represent duration substitution.,retain 4 h technical values; CapEx x 1.004004 CPI,KEEP_BASELINE; POWER_ENERGY_SPLIT_REQUIRES_CODE_CHANGE,VERY_HIGH,NREL Cost Projections for Utility-Scale Battery Storage: 2025 Update; IRENA 2024 costs; NEA China New Energy Storage Development Report 2025
Pumped-storage hydropower,8 h; eta_ch=eta_dis=0.88; RTE=77.44%; 40 y; 2030 CapEx 5260 CNY/kW,"NREL 2024 central RTE around 80%, literature/resource range about 70-87%; 8/10/12 h site designs and strongly site-specific cost",Efficiency is well supported; nationwide fixed duration and CapEx are simplified,retain technical values; CapEx x 1.004004 CPI,KEEP_BASELINE,HIGH,NREL 2024 ATB Pumped Storage Hydropower and PSH Cost Model
Real WACC,uniform 7.4% real,2025 dataset for China reports nominal 2025 WACC 8.4-9.4% across covered technologies; IEA commonly uses real 4-9% ranges,Dataset is international-commercial-financier nominal WACC and excludes nuclear/battery; not directly interchangeable with a domestic real rate,retain 7.4% real,KEEP_AFTER_REVIEW,VERY_HIGH,doi:10.1038/s41597-025-06177-0; doi:10.5281/zenodo.17076925
Wave energy,current Base enables wave; 2030/2040/2050 2777/2012/1731 EUR/kW; potential_fraction=1,Applied Energy 2024 is an optimistic learning case; present commercial LCOE evidence remains much higher and heterogeneous,Low maturity and strong site/device dependence,change final reference to disabled; sensitivity costs converted at 8.1185 CNY/EUR,EXCLUDE_FROM_REFERENCE,MANDATORY_IF_ENABLED,doi:10.1016/j.apenergy.2024.123119
Objective cost accounting,CapEx x CRF and FOM charged on all in-service capacity in each planning snapshot,Planning-investment models normally distinguish sunk existing capacity from new investment cash flow,"This is a structural equation issue, not a scalar input",no silent change in this candidate package; disclose explicitly,MODEL_CODE_REVIEW_REQUIRED,CRITICAL_BEFORE_FINAL_SOLVES,live cispo_model/master.py and monolithic.py audit
