parameter_family,parameter,active_value,candidate_final_value,unit,candidate_price_basis,conversion_or_selection_rule,implementation_status
thermal_ruc,bio.startup_yuan_per_mw,500.0,502.00199999999995,2025 CNY/MW-event,2025 constant CNY,2022 CNY x 1.004004 CPI,PROPOSED_NOT_APPLIED
thermal_ruc,bio.shutdown_yuan_per_mw,500.0,502.00199999999995,2025 CNY/MW-event,2025 constant CNY,2022 CNY x 1.004004 CPI,PROPOSED_NOT_APPLIED
thermal_ruc,bio.pmin_fraction,0.35,0.35,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,bio.pmax_fraction,1.0,1.0,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,bio.min_up_h,8.0,8.0,h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,bio.min_down_h,8.0,8.0,h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,bio.ramp_fraction_per_h,0.25,0.25,fraction/h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,bio.fuel_load_mj_per_kwh,9.0,9.0,MJ/kWh,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,bio.ccs_power_loss_fraction,0.0,0.0,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,bioccs.startup_yuan_per_mw,500.0,502.00199999999995,2025 CNY/MW-event,2025 constant CNY,2022 CNY x 1.004004 CPI,PROPOSED_NOT_APPLIED
thermal_ruc,bioccs.shutdown_yuan_per_mw,500.0,502.00199999999995,2025 CNY/MW-event,2025 constant CNY,2022 CNY x 1.004004 CPI,PROPOSED_NOT_APPLIED
thermal_ruc,bioccs.pmin_fraction,0.35,0.35,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,bioccs.pmax_fraction,1.0,1.0,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,bioccs.min_up_h,8.0,8.0,h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,bioccs.min_down_h,8.0,8.0,h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,bioccs.ramp_fraction_per_h,0.25,0.25,fraction/h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,bioccs.fuel_load_mj_per_kwh,10.3,10.3,MJ/kWh,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,bioccs.ccs_power_loss_fraction,0.05,0.05,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,coal.startup_yuan_per_mw,1100.0,1104.4044,2025 CNY/MW-event,2025 constant CNY,2022 CNY x 1.004004 CPI,PROPOSED_NOT_APPLIED
thermal_ruc,coal.shutdown_yuan_per_mw,1100.0,1104.4044,2025 CNY/MW-event,2025 constant CNY,2022 CNY x 1.004004 CPI,PROPOSED_NOT_APPLIED
thermal_ruc,coal.pmin_fraction,0.4,0.4,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,coal.pmax_fraction,1.0,1.0,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,coal.min_up_h,8.0,8.0,h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,coal.min_down_h,8.0,8.0,h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,coal.ramp_fraction_per_h,0.25,0.25,fraction/h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,coal.fuel_load_mj_per_kwh,9.0,9.0,MJ/kWh,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,coal.ccs_power_loss_fraction,0.0,0.0,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,coalccs.startup_yuan_per_mw,1100.0,1104.4044,2025 CNY/MW-event,2025 constant CNY,2022 CNY x 1.004004 CPI,PROPOSED_NOT_APPLIED
thermal_ruc,coalccs.shutdown_yuan_per_mw,1100.0,1104.4044,2025 CNY/MW-event,2025 constant CNY,2022 CNY x 1.004004 CPI,PROPOSED_NOT_APPLIED
thermal_ruc,coalccs.pmin_fraction,0.4,0.4,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,coalccs.pmax_fraction,1.0,1.0,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,coalccs.min_up_h,8.0,8.0,h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,coalccs.min_down_h,8.0,8.0,h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,coalccs.ramp_fraction_per_h,0.25,0.25,fraction/h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,coalccs.fuel_load_mj_per_kwh,11.25,11.25,MJ/kWh,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,coalccs.ccs_power_loss_fraction,0.05,0.05,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,cchp.startup_yuan_per_mw,1100.0,1104.4044,2025 CNY/MW-event,2025 constant CNY,2022 CNY x 1.004004 CPI,PROPOSED_NOT_APPLIED
thermal_ruc,cchp.shutdown_yuan_per_mw,1100.0,1104.4044,2025 CNY/MW-event,2025 constant CNY,2022 CNY x 1.004004 CPI,PROPOSED_NOT_APPLIED
thermal_ruc,cchp.pmin_fraction,0.6,0.6,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,cchp.pmax_fraction,0.9,0.9,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,cchp.min_up_h,8.0,8.0,h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,cchp.min_down_h,8.0,8.0,h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,cchp.ramp_fraction_per_h,0.25,0.25,fraction/h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,cchp.fuel_load_mj_per_kwh,9.47,9.47,MJ/kWh,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,cchp.ccs_power_loss_fraction,0.0,0.0,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,cchpccs.startup_yuan_per_mw,1100.0,1104.4044,2025 CNY/MW-event,2025 constant CNY,2022 CNY x 1.004004 CPI,PROPOSED_NOT_APPLIED
thermal_ruc,cchpccs.shutdown_yuan_per_mw,1100.0,1104.4044,2025 CNY/MW-event,2025 constant CNY,2022 CNY x 1.004004 CPI,PROPOSED_NOT_APPLIED
thermal_ruc,cchpccs.pmin_fraction,0.6,0.6,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,cchpccs.pmax_fraction,0.9,0.9,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,cchpccs.min_up_h,8.0,8.0,h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,cchpccs.min_down_h,8.0,8.0,h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,cchpccs.ramp_fraction_per_h,0.25,0.25,fraction/h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,cchpccs.fuel_load_mj_per_kwh,11.25,11.25,MJ/kWh,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,cchpccs.ccs_power_loss_fraction,0.05,0.05,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,gas.startup_yuan_per_mw,300.0,301.2012,2025 CNY/MW-event,2025 constant CNY,2022 CNY x 1.004004 CPI,PROPOSED_NOT_APPLIED
thermal_ruc,gas.shutdown_yuan_per_mw,300.0,301.2012,2025 CNY/MW-event,2025 constant CNY,2022 CNY x 1.004004 CPI,PROPOSED_NOT_APPLIED
thermal_ruc,gas.pmin_fraction,0.3,0.3,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,gas.pmax_fraction,1.0,1.0,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,gas.min_up_h,4.0,4.0,h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,gas.min_down_h,2.0,2.0,h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,gas.ramp_fraction_per_h,0.5,0.5,fraction/h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,gas.fuel_load_mj_per_kwh,6.31,6.31,MJ/kWh,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,gas.ccs_power_loss_fraction,0.0,0.0,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,gasccs.startup_yuan_per_mw,300.0,301.2012,2025 CNY/MW-event,2025 constant CNY,2022 CNY x 1.004004 CPI,PROPOSED_NOT_APPLIED
thermal_ruc,gasccs.shutdown_yuan_per_mw,300.0,301.2012,2025 CNY/MW-event,2025 constant CNY,2022 CNY x 1.004004 CPI,PROPOSED_NOT_APPLIED
thermal_ruc,gasccs.pmin_fraction,0.3,0.3,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,gasccs.pmax_fraction,1.0,1.0,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,gasccs.min_up_h,4.0,4.0,h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,gasccs.min_down_h,2.0,2.0,h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,gasccs.ramp_fraction_per_h,0.5,0.5,fraction/h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,gasccs.fuel_load_mj_per_kwh,7.83,7.83,MJ/kWh,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,gasccs.ccs_power_loss_fraction,0.05,0.05,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,gchp.startup_yuan_per_mw,300.0,301.2012,2025 CNY/MW-event,2025 constant CNY,2022 CNY x 1.004004 CPI,PROPOSED_NOT_APPLIED
thermal_ruc,gchp.shutdown_yuan_per_mw,300.0,301.2012,2025 CNY/MW-event,2025 constant CNY,2022 CNY x 1.004004 CPI,PROPOSED_NOT_APPLIED
thermal_ruc,gchp.pmin_fraction,0.3,0.3,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,gchp.pmax_fraction,1.0,1.0,fraction,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,gchp.min_up_h,4.0,4.0,h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,gchp.min_down_h,2.0,2.0,h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,gchp.ramp_fraction_per_h,0.5,0.5,fraction/h,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
thermal_ruc,gchp.fuel_load_mj_per_kwh,6.31,6.31,MJ/kWh,physical parameter,retain current CISPO value after literature review,PROPOSED_NOT_APPLIED
