family_id,review_unit,association_rows,independent_source_groups,minimum_required,china_specific_or_china_inclusive_sources,latest_publication_year,status
F01,风电、光伏与光热 CapEx/O&M/学习率,8,8,5,5,2026,PASS
F02,常规水电 CapEx/O&M/寿命,6,6,5,3,2026,PASS
F03,煤气生物质与核电 CapEx/O&M,7,7,5,5,2025,PASS
F04,火电核电 RUC 与运行技术参数,7,7,5,7,2025,PASS
F05,省级煤气生物质燃料价格,8,8,5,6,2025,PASS
F06,4 h 锂电池成本、效率、寿命与时长,8,8,5,3,2026,PASS
F07,抽水蓄能成本、效率、寿命与时长,7,7,5,3,2025,PASS
F08,CCS 捕集成本、捕集率与有效能耗,8,8,5,7,2025,PASS
F09,CO2 运输与封存成本,8,8,5,7,2025,PASS
F10,DAC CapEx/O&M/能源需求/学习率,7,7,5,2,2025,PASS
F11,输电线路、变电站、损耗与寿命,6,6,5,5,2025,PASS
F12,实际 WACC 与融资口径,6,6,5,4,2025,PASS
F13,技术寿命与既有机组退役寿命,6,6,5,3,2025,PASS
F14,2025 年不变人民币换算与价格账本,6,6,5,4,2026,PASS
F15,波浪能成本、成熟度与参考情景边界,6,6,5,1,2025,PASS
