input_family,relative_path,model_role,effective_consumer,authority_status,row_count,sha256
Production configuration,config/optimization_2030.json,"planning years, WACC, lifetimes, wave and network cost assumptions",cispo_model/config.py; cispo_model/master.py,ACTIVE_PRIMARY,,c9b45ddfd1dd60fad4f40401cb64af3ada045b33f201d79b4a2e25a28c92eade
Technology CapEx trajectories,data/technology/technology_capex_by_year.csv,19 technologies x 2030/2040/2050/2060,cispo_model/data.py:700-704; cispo_model/master.py,ACTIVE_PRIMARY,76,838bc0c08d36cd78472c2630bc16670739e7f1eb150d501927f3e23d6bc4203a
Thermal/nuclear RUC,data/technology/thermal_nuclear_ruc_parameters.csv,"operating range, ramp, minimum up/down, startup/shutdown and fuel load",cispo_model/data.py; cispo_model/monolithic.py,ACTIVE_PRIMARY,11,c3738f12652ac2ad8571460cb8bd51c19a7ed58180482f9dc65042b8d32efa10
Thermal/nuclear O&M,data/technology/thermal_nuclear_om_parameters.csv,fixed and variable O&M,cispo_model/data.py; cispo_model/master.py; cispo_model/monolithic.py,ACTIVE_PRIMARY,11,c79f0729b3e66e9171892bd81c60cc0d23337fdbcf008b6941c91bb23117e3af
Storage technical parameters,data/technology/storage_technical_parameters.csv,"efficiency, duration, self-discharge, lifetime and O&M",cispo_model/data.py; cispo_model/master.py; cispo_model/monolithic.py,ACTIVE_PRIMARY,2,01d06f7f46d615768301f39b7269e2ef9452fa1ee28a290ede26b6b593092733
Provincial fuel prices,data/technology/province_fuel_prices.csv,"31-province coal, gas and biomass prices and availability",scripts/rebuild_fuel_price_tables.py; cispo_model/data.py,ACTIVE_PRIMARY_WITH_RESOLVED_EXTERNAL_PROVENANCE,31,b6867259317b419bc8b35aedf6b614fd930cf0eed9620fdddeca6fc6434c50a1
Provincial fuel generation cost,data/technology/province_fuel_generation_cost_by_year.csv,fuel price x heat rate for ten thermal classes,cispo_model/data.py; cispo_model/monolithic.py,ACTIVE_DERIVED,1550,e1133fbfc798a15524e3ee920a0c6e3e771206874427abcef7db399227df94cd
Emission factors,data/technology/emission_factors_by_year.csv,"year-specific coal, gas and BECCS factors",cispo_model/data.py; cispo_model/carbon_accounting.py,ACTIVE_NON_MONETARY,15,6c1002b18c623901483397e2ef405eb51cb61577c6e92b62d206ed7fa943dec9
DAC parameters,data/technology/dac_parameters_by_year.csv,"four DAC pathways, cost, energy and annualization",cispo_model/data.py; cispo_model/master.py,ACTIVE_PRIMARY,20,a074e94cea5eed55e4da2b24c846195cbf3b7b6f57237d46a04d4bbccda52e83
CCS costs,data/technology/ccs_cost_parameters.csv,"capture, transport and storage",cispo_model/data.py; cispo_model/master.py,ACTIVE_PRIMARY,1,681b73c33af715722f71587b95ea5b1806a1f8344563f4003176b1277db1cfd6
Transmission costs,data/technology/transmission_cost_parameters.csv,"voltage-specific substations, lines, loss and lifetime",cispo_model/data.py; cispo_model/master.py,ACTIVE_PRIMARY,7,6cf40debc9fa1ce891cfb7bdebb8892647effe2a12e3c2ad08752ab8a48623dc
Thermal capacity floor,data/thermal/capacity_floor_by_year.csv,province-technology capacity after exogenous retirement,cispo_model/data.py; cispo_model/master.py,ACTIVE_PRIMARY,1550,50b62750d1b44141847c9b18f94d131a22eaf329a25eaea42c4e9635428944bb
Thermal retirement schedule,data/thermal/retirement_schedule.csv,40-year existing-fleet retirement buckets,scripts/build_cispo_data_package.py; cispo_model/planning_state.py,ACTIVE_PRIMARY,2480,2f463d6e3e0b754e70ead27e158c218c2bef06b06f555720a973fc4d4bd64def
Nuclear lower bound,data/thermal/nuclear_capacity_floor_by_year.csv,GEM operating/pipeline milestones,cispo_model/data.py; cispo_model/master.py,ACTIVE_PRIMARY,155,90ade3212ea5be9704e5177879593a64cbabff3be3327022b3ae8ef3c9130f01
Nuclear upper bound,data/thermal/nuclear_capacity_upper_by_year.csv,policy-aligned national ceilings allocated by province,cispo_model/data.py; cispo_model/master.py,ACTIVE_PRIMARY,124,dac3ff4e422b51d076c32c61549389e7d0b10daf0bca6ce327865b17f18afb01
Battery lower bound,data/storage/battery_capacity_floor_by_province_year.csv,CISPO Table S17 2025 provincial targets imposed at 2030,cispo_model/data.py; cispo_model/master.py,ACTIVE_PRIMARY,124,8e6039bcd179dbc4dd732e2dde9a12ea537e48f36db63cdf317c7081a9ff3d0d
PHS lower/upper bounds,data/storage/phs_capacity_bounds_by_province_year.csv,GHT 2026 operating floor and project-availability upper bound,cispo_model/data.py; cispo_model/master.py,ACTIVE_PRIMARY,124,21e3d51dbde54e7a651ba11d9a998d5b4ec6302dc9a0ee11383f7c5b99abe319
Unresolved-parameter register,data/technology/unresolved_parameters.csv,sidecar assumptions and data gaps; contains superseded network statements,documentation only; not consumed by optimization equations,ACTIVE_SIDECAR_PARTLY_STALE,17,c0a811b6afc3b38edaa84406e0642d0833a71c1f2594485d23491224d024337f
