technology,year,capex_yuan_per_kw,source_technology,source_figure,extraction_method,mapping_assumption,source_workbook,source_price_year_assigned,price_year_assignment_basis,cpi_2022_to_2025_factor,capex_2025_cny_per_kw_reporting,active_model_value_changed,real_wacc_fraction,lifetime_years,capital_recovery_factor,annualized_capex_active_yuan_per_kw_year,annualized_capex_2025_cny_per_kw_year_reporting
battery,2030,3300.00000000,BAT,image_c8b91f.png (S42),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,3313.21320000,False,0.07400000,15.00000000,0.11258470,371.52952184,373.01712605
battery,2040,3040.00000000,BAT,image_c8b91f.png (S42),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,3052.17216000,False,0.07400000,15.00000000,0.11258470,342.25749891,343.62789793
battery,2050,2760.00000000,BAT,image_c8b91f.png (S42),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,2771.05104000,False,0.07400000,15.00000000,0.11258470,310.73378190,311.97795997
battery,2060,2400.00000000,BAT,image_c8b91f.png (S42),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,2409.60960000,False,0.07400000,15.00000000,0.11258470,270.20328861,271.28518258
bio,2030,4700.00000000,Biomass,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,4718.81880000,False,0.07400000,30.00000000,0.08384842,394.08755963,395.66548622
bio,2040,3800.00000000,Biomass,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,3815.21520000,False,0.07400000,30.00000000,0.08384842,318.62398439,319.89975482
bio,2050,3800.00000000,Biomass,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,3815.21520000,False,0.07400000,30.00000000,0.08384842,318.62398439,319.89975482
bio,2060,3800.00000000,Biomass,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,3815.21520000,False,0.07400000,30.00000000,0.08384842,318.62398439,319.89975482
bioccs,2030,11900.00000000,Biomass CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,11947.64760000,False,0.07400000,30.00000000,0.08384842,997.79616163,1001.79133746
bioccs,2040,9650.00000000,Biomass CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,9688.63860000,False,0.07400000,30.00000000,0.08384842,809.13722350,812.37700895
bioccs,2050,7800.00000000,Biomass CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,7831.23120000,False,0.07400000,30.00000000,0.08384842,654.01765216,656.63633884
bioccs,2060,7800.00000000,Biomass CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,7831.23120000,False,0.07400000,30.00000000,0.08384842,654.01765216,656.63633884
cchp,2030,3800.00000000,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,3815.21520000,False,0.07400000,40.00000000,0.07851636,298.36218271,299.55682489
cchp,2040,3800.00000000,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,3815.21520000,False,0.07400000,40.00000000,0.07851636,298.36218271,299.55682489
cchp,2050,3750.00000000,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,3765.01500000,False,0.07400000,40.00000000,0.07851636,294.43636451,295.61528772
cchp,2060,3750.00000000,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,3765.01500000,False,0.07400000,40.00000000,0.07851636,294.43636451,295.61528772
cchpccs,2030,6900.00000000,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,6927.62760000,False,0.07400000,40.00000000,0.07851636,541.76291070,543.93212940
cchpccs,2040,6900.00000000,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,6927.62760000,False,0.07400000,40.00000000,0.07851636,541.76291070,543.93212940
cchpccs,2050,6150.00000000,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,6174.62460000,False,0.07400000,40.00000000,0.07851636,482.87563780,484.80907185
cchpccs,2060,6000.00000000,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,6024.02400000,False,0.07400000,40.00000000,0.07851636,471.09818322,472.98446035
coal,2030,3800.00000000,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,3815.21520000,False,0.07400000,40.00000000,0.07851636,298.36218271,299.55682489
coal,2040,3800.00000000,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,3815.21520000,False,0.07400000,40.00000000,0.07851636,298.36218271,299.55682489
coal,2050,3750.00000000,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,3765.01500000,False,0.07400000,40.00000000,0.07851636,294.43636451,295.61528772
coal,2060,3750.00000000,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,3765.01500000,False,0.07400000,40.00000000,0.07851636,294.43636451,295.61528772
coalccs,2030,6900.00000000,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,6927.62760000,False,0.07400000,40.00000000,0.07851636,541.76291070,543.93212940
coalccs,2040,6900.00000000,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,6927.62760000,False,0.07400000,40.00000000,0.07851636,541.76291070,543.93212940
coalccs,2050,6150.00000000,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,6174.62460000,False,0.07400000,40.00000000,0.07851636,482.87563780,484.80907185
coalccs,2060,6000.00000000,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,6024.02400000,False,0.07400000,40.00000000,0.07851636,471.09818322,472.98446035
