province_code,province_name_en,province_name_zh,coal_usd_per_gj,coal_correlation_r,gas_usd_per_gj,biomass_usd_per_gj,coal_yuan_per_gj,gas_yuan_per_gj,coal_fuel_available,biomass_yuan_per_gj,gas_fuel_available,biomass_fuel_available,usd_to_yuan,price_basis_year,temporal_method,merge_method,source_evidence,active_coal_yuan_per_gj,active_gas_yuan_per_gj,active_biomass_yuan_per_gj,currency_conversion_note,implementation_status,candidate_version,v2_change_reason
11,Beijing,北京,,,9.92,5.41,,70.857568,False,38.643089,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",,68.44800000000001,37.329,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
12,Tianjin,天津,5.51,0.98,9.92,5.41,39.357379,70.857568,True,38.643089,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",38.019,68.44800000000001,37.329,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
13,Hebei,河北,4.4,0.94,9.84,4.86,31.428760000000004,70.286136,True,34.714494,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",30.360000000000003,67.896,33.534000000000006,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
14,Shanxi,山西,4.03,0.99,9.58,4.82,28.785887,68.428982,True,34.428778,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",27.807,66.102,33.258,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
15,Inner Mongolia,内蒙古,2.56,0.8,7.51,4.75,18.285824,53.643179,True,33.928775,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,arithmetic mean of East Inner Mongolia and West Inner Mongolia,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",17.664,51.819,32.775,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
21,Liaoning,辽宁,5.36,0.95,9.84,4.94,38.285944,70.286136,True,35.285926,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",36.984,67.896,34.086000000000006,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
22,Jilin,吉林,5.58,0.88,9.06,4.84,39.857382,64.714674,True,34.571636,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",38.502,62.51400000000001,33.396,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
23,Heilongjiang,黑龙江,5.09,,9.06,4.81,36.357361,64.714674,True,34.357349,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",35.121,62.51400000000001,33.189,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
31,Shanghai,上海,5.44,0.9,10.58,5.28,38.857376,75.571882,True,37.714512,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",37.536,73.00200000000001,36.432,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
32,Jiangsu,江苏,5.81,0.99,10.51,5.23,41.500249,75.071879,True,37.357367,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",40.089,72.519,36.087,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
