source_id,source_type,title,year,url_or_path,scope,parameter_role,reliability
POWER_CURVE_EV,local_model_output,Power_curve_V2 Guangzhou-QC-calibrated EV reconstruction and future 8760 projection v3,2026,../Power_curve_V2/outputs/future_8760_projection_ev_calibrated_v3_qc/tables/future_hourly_load_2025_2060_8760.csv.gz,China province-hour EV load stock and daily energy,immutable EV baseline shape and energy,HIGH_LOCAL_REPRODUCIBLE
POWER_CURVE_THERMAL,local_model_output,Power_curve_V2 retained heating and cooling reconstruction,2026,../Power_curve_V2/outputs/run_20260617_122125/tables/heating_cooling_load_2020_2024.csv.gz,China province-hour BAIT HDD CDD thermal loads,thermal baseline and temperature response,HIGH_LOCAL_REPRODUCIBLE
LOCAL_ENVELOPE_V3,local_model_output,National_model BAIT plus or minus 1 C comfort envelope,2026,data/load/flexible_load_envelope_v3.manifest.json,31 provinces and five planning years,thermal hourly power boundary,HIGH_LOCAL_REPRODUCIBLE
GPTPRO_20260728,expert_review,Independent GPTPro innovation and parameter review,2026,supplementary_materials/deep-research-report.md,repository-specific thermal and EV synthesis,central engineering assumptions and ranges,EXPERT_SYNTHESIS_NOT_OBSERVATION
IEA_EBC_67,international_official,IEA EBC Annex 67 Energy Flexible Buildings,2019,https://www.iea-ebc.org/projects/project?AnnexID=67,building thermal flexibility and comfort,formulation support,HIGH
APPLIED_ENERGY_2016_TES,peer_reviewed,Quantifying the operational flexibility of building energy systems with thermal energy storages,2016,https://doi.org/10.1016/j.apenergy.2016.08.055,thermal storage power energy and time characterization,formulation and duration support,HIGH
APPLIED_ENERGY_2017_HVAC,peer_reviewed,Load shifting using the heating and cooling system of an office building,2017,https://doi.org/10.1016/j.apenergy.2017.06.073,HVAC and thermal mass load shifting,duration sensitivity support,HIGH
ENBUILD_2019_AC,peer_reviewed,Validation on aggregate flexibility from residential air conditioning systems,2019,https://doi.org/10.1016/j.enbuild.2019.07.043,aggregate battery-equivalent AC flexibility,formulation validation support,HIGH
ECM_2023_COOL,peer_reviewed,Techno-economic comparison of cooling storage and battery for electricity flexibility,2023,https://doi.org/10.1016/j.enconman.2023.117183,Chinese city cooling flexibility,cooling duration and sensitivity support,HIGH
NDRC_VGI_2023,China_official,Implementation opinions on strengthening vehicle-grid integration,2023,https://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=20306,China orderly charging and bidirectional interaction,scenario legitimacy and adoption uncertainty,HIGH
NDRC_VGI_PILOT_2025,China_official,First batch of large-scale vehicle-grid interaction pilots,2025,https://www.ndrc.gov.cn/xwdt/tzgg/202504/t20250402_1396960_ext.html,9 cities and 30 projects,V2G sensitivity status and deployment boundary,HIGH
IEA_V2G,international_official,Vehicle-to-grid technology,2026,https://www.iea.org/reports/vehicle-to-grid-technology,V1G V2G mobility and infrastructure,formulation and sensitivity support,HIGH
IEA_DEMAND_FLEX,international_official,The Value of Demand Flexibility,2025,https://www.iea.org/reports/the-value-of-demand-flexibility,demand flexibility enablement and system value,nonzero enablement and activation costs,HIGH
