technology,year,capex_yuan_per_kw,active_capex_yuan_per_kw,source_technology,source_figure,extraction_method,mapping_assumption,source_workbook,candidate_price_basis,conversion_rule,implementation_status,candidate_version,v2_change_reason
battery,2030,3313.2132,3300.0,BAT,image_c8b91f.png (S42),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
battery,2040,3052.17216,3040.0,BAT,image_c8b91f.png (S42),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
battery,2050,2771.05104,2760.0,BAT,image_c8b91f.png (S42),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
battery,2060,2409.6096,2400.0,BAT,image_c8b91f.png (S42),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
bio,2030,4718.818799999999,4700.0,Biomass,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
bio,2040,3815.2152,3800.0,Biomass,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
bio,2050,3815.2152,3800.0,Biomass,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
bio,2060,3815.2152,3800.0,Biomass,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
bioccs,2030,11947.647599999998,11900.0,Biomass CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
bioccs,2040,9688.638599999998,9650.0,Biomass CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
bioccs,2050,7831.231199999999,7800.0,Biomass CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
bioccs,2060,7831.231199999999,7800.0,Biomass CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
cchp,2030,3815.2152,3800.0,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
cchp,2040,3815.2152,3800.0,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
cchp,2050,3765.015,3750.0,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
cchp,2060,3765.015,3750.0,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
cchpccs,2030,6927.627599999999,6900.0,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
