parameter_id,resolution,unit,input_file,provenance,status,sensitivity,model_role
thermal.power_envelope,province-year-hour,GW,flexibility/thermal_hourly_envelope_v4.csv.gz,accepted BAIT +/-1 C V3 envelope times registered enrolment,GENERATED_AND_MANIFESTED,0.10-0.40 enrolment,hard up/down power bounds
thermal.retention,province-year-component,fraction,flexibility/thermal_parameters_by_province_v4.csv,GPTPro engineering range mapped to equivalent service inventory,ENGINEERING_ASSUMPTION,heating 0.90-0.98 cooling 0.85-0.97,hourly state retention
thermal.duration,province-year-component,hour,flexibility/thermal_parameters_by_province_v4.csv,GPTPro range plus building thermal-flexibility literature,ENGINEERING_ASSUMPTION,heating 2-8 cooling 2-10,nonnegative state upper bound
thermal.efficiency,province-year-component,fraction,flexibility/thermal_parameters_by_province_v4.csv,model convention avoids double counting retention loss,MODEL_CONVENTION,fixed 1.0,state charge and discharge conversion
ev.shiftable_baseline,province-year-hour,GW,load/hourly_load_2025_2060.csv.gz,Power_curve_V2 EV baseline times registered V1G participation,GENERATED_AND_MANIFESTED,0.10-0.50,immutable/flexible EV split
ev.service_withdrawal,province-year-hour,GWh,flexibility/ev_mobility_hourly_v4.csv.gz,eta_charge times flexible EV baseline with exact annual closure,GENERATED_AND_MANIFESTED,tracks V1G participation,exogenous service withdrawal
ev.smart_charge_power,province-year-hour,GW,flexibility/ev_availability_hourly_v4.csv.gz,maximum of flexible baseline and ratio times daily average,ENGINEERING_ASSUMPTION,ratio 1.5-3.0,smart charging upper bound
ev.v2g_power,province-year-hour,GW,flexibility/ev_availability_hourly_v4.csv.gz,separate V2G participation times daily average,ENGINEERING_SENSITIVITY,participation 0.05-0.30,V2G discharge upper bound
ev.service_inventory,province-year-hour,GWh,flexibility/ev_availability_hourly_v4.csv.gz,flexible daily service energy times registered duration,ENGINEERING_ASSUMPTION,12-36 hours,aggregate service state upper bound
ev.connection_normalisation,province-year-hour,fraction,flexibility/ev_availability_hourly_v4.csv.gz,fixed service normalisation not measured connection probability,MODEL_CONVENTION,fixed 1.0,multiplies contracted power
ev.departure_floor_legacy,province-year-hour,GWh,flexibility/ev_mobility_hourly_v4.csv.gz,no departure observations available; fabricated floors forbidden,MODEL_CONVENTION,fixed 0.0,legacy lower-bound field only
flex.enablement_cost,province-year-service,CNY/kW-year,flexibility/flex_enablement_cost_v4.csv,GPTPro engineering central and range plus policy/IEA support,ENGINEERING_ASSUMPTION,thermal 10-120 EV 20-180,annual contracted-capacity cost
flex.activation_cost,province-year-service,CNY/MWh,flexibility/flex_enablement_cost_v4.csv,GPTPro engineering central and range,ENGINEERING_ASSUMPTION,2-30,thermal throughput and V1G relocation
v2g.degradation_compensation,province-year-service,CNY/MWh,flexibility/flex_enablement_cost_v4.csv,GPTPro engineering central and range plus V2G literature,ENGINEERING_SENSITIVITY,80-400,V2G discharged-energy cost
