short_family,decision,sensitivity_priority,decision_code
VRE CapEx,KEEP_AND_REBASE,HIGH_OFFWIND; MEDIUM_OTHER_VRE,1
Firm/thermal CapEx,KEEP_AND_REBASE,MEDIUM; HIGH_NUCLEAR_AND_CCS,1
Fuel prices,CORRECT_PROVENANCE_AND_FX,VERY_HIGH,2
Coal flexibility,KEEP,HIGH,0
CCS capture/penalty,KEEP_WITH_STRUCTURAL_REVIEW,VERY_HIGH,4
CCS transport/storage,CHANGE_RECOMMENDED_REQUIRES_APPROVAL,HIGH,3
Battery,KEEP_BASELINE; POWER_ENERGY_SPLIT_REQUIRES_CODE_CHANGE,VERY_HIGH,4
Pumped hydro,KEEP_BASELINE,HIGH,0
WACC,KEEP_AFTER_REVIEW,VERY_HIGH,0
Wave,EXCLUDE_FROM_REFERENCE,MANDATORY_IF_ENABLED,5
Cost accounting,MODEL_CODE_REVIEW_REQUIRED,CRITICAL_BEFORE_FINAL_SOLVES,4
